Z,dT,Fitness,Fitness_cmp,Precision,Precision_cmp,Generality,Generality_cmp,Simplicity,RISK_AT_0.3,RISK_AT_0.6,RISK_AT_0.9,RISK_A_0.3,RISK_A_0.6,RISK_A_0.9
60,0,0.9963164583250634,0.9948480895707805,0.22014634045228731,0.1303756501095077,0.9756571441617475,0.9052863350299247,0.6084656084656085,1.0,1.0,1.0,0.009657392504023914,0.02345366750977236,0.023606959454280676
66,86400,1.0,0.8935234325532169,0.5302111062960441,0.294392752737903,0.9328527135013461,0.8407928999388466,0.6326530612244898,1.0,1.0,1.0,9.017132551848512e-05,0.0006311992786293959,0.000721370604147881
66,259200,1.0,0.9768146294373677,0.509334194244018,0.21417757492945677,0.9350389426801492,0.8920904692521614,0.641025641025641,1.0,1.0,1.0,0.0009205277692543725,0.001457502301319423,0.002224608775698067
66,0,1.0,0.9999310530331889,0.18556063882608198,0.12088017990591882,0.979333687229742,0.9329552106136673,0.6111111111111112,1.0,1.0,1.0,0.009889604415823367,0.024609015639374426,0.024685679239497087
131,86400,1.0,1.0,1.0,1.0,0.9712282331175782,0.9912586210313589,1.0,1.0,1.0,1.0,0.0,0.0,0.0
131,259200,1.0,0.9376373525883652,0.6109472980676613,0.3315554428148969,0.9466488919901564,0.8080552525647,0.6428571428571429,1.0,1.0,1.0,0.0,0.0005467895641306046,0.0006249023590064052
131,0,1.0,0.9999819363674334,0.1920325012405275,0.11840958549075398,0.934052857710463,0.9320007738957541,0.6243654822335025,1.0,1.0,1.0,0.005159005159005159,0.01878801878801879,0.01901901901901902
655,0,1.0,0.9763807846345149,0.44356794682073275,0.1899485400707266,0.9470221978405616,0.9094837109495575,0.6307692307692307,1.0,1.0,1.0,0.0004012197079120526,0.0034504894880436525,0.003691221312790884
1309,0,1.0,0.9376373525883652,0.6361790871047308,0.3315554428148969,0.925985039555502,0.8080552525647,0.6428571428571429,1.0,1.0,1.0,0.0,0.00025466893039049235,0.0008488964346349745
1964,0,1.0,0.907162376675307,1.0,0.5097266159875349,0.9802511377582411,0.9058442112658889,0.7142857142857143,1.0,1.0,1.0,0.0,0.0,8.989572096368213e-05
2618,0,1.0,0.4751390447091399,1.0,0.9894983315106138,0.9810875493616918,0.8496260999546783,0.7499999999999999,1.0,1.0,1.0,0.0,0.0,0.0
3927,0,1.0,0.4913844178927619,1.0,0.9895157952821079,0.9777835150259022,0.9903125961117452,0.8461538461538463,1.0,1.0,1.0,0.0,0.0,0.0
